"Period.Begin","Period.End","Day","Month","Year","Metro.City","Metro.State","adjusted_average_new_listings","adjusted_average_new_listings_yoy","adjusted_average_homes_sold","adjusted_average_homes_sold_yoy","Median.Sale.Price.Yoy","Median.Sale.Price"
2019-12-09,2020-01-05,5,1,2020,"Atlanta","GA",1569,-0.000636943,1881,0.152573529,0.065925942,249739.2
2019-12-16,2020-01-12,12,1,2020,"Atlanta","GA",1761,0.014400922,1688,0.160137457,0.074990063,247739.2
2019-12-23,2020-01-19,19,1,2020,"Atlanta","GA",1949,-0.035148515,1431,0.199497066,0.057322345,244989.2
2019-12-30,2020-01-26,26,1,2020,"Atlanta","GA",2381,-0.0132615,1431,0.270870337,0.048430189,243846.2
2020-01-06,2020-02-02,33,2,2020,"Atlanta","GA",2651,-0.008230453,1508,0.149390244,0.05241417,242596.2
2020-01-13,2020-02-09,40,2,2020,"Atlanta","GA",2677,-0.029369108,1512,0.144587434,0.0530483,243096.2
2020-01-20,2020-02-16,47,2,2020,"Atlanta","GA",2712,-0.027259684,1583,0.110098177,0.057827657,244596.2
2020-01-27,2020-02-23,54,2,2020,"Atlanta","GA",2710,-0.038325053,1689,0.113381674,0.068585028,24695
2020-02-03,2020-03-01,61,3,2020,"Atlanta","GA",2806,-0.04101162,1884,0.072282299,0.066294524,250712.5
2020-02-10,2020-03-08,68,3,2020,"Atlanta","GA",2902,-0.048212529,1989,0.058541778,0.057910729,252417.5
2020-02-17,2020-03-15,75,3,2020,"Atlanta","GA",3127,-0.016047829,2043,0.041284404,0.059335755,255167.5
2020-02-24,2020-03-22,82,3,2020,"Atlanta","GA",3312,-0.012227856,2155,0.041565974,0.073893209,258942.5
2020-03-02,2020-03-29,89,3,2020,"Atlanta","GA",3239,-0.048192771,2010,-0.065550907,0.077850129,260705
2020-03-09,2020-04-05,96,4,2020,"Atlanta","GA",3136,-0.090223383,2149,0.005144995,0.100453795,26675
2020-03-16,2020-04-12,103,4,2020,"Atlanta","GA",2842,-0.203698515,2038,-0.039132485,0.117219917,26925
2020-03-23,2020-04-19,110,4,2020,"Atlanta","GA",2576,-0.278431373,1948,-0.114545455,0.116308914,27175
2020-03-30,2020-04-26,117,4,2020,"Atlanta","GA",2438,-0.326519337,1799,-0.109846611,0.111971081,27125
2020-04-06,2020-05-03,124,5,2020,"Atlanta","GA",2439,-0.342055571,1818,-0.219072165,0.080065748,269475
2020-04-13,2020-05-10,131,5,2020,"Atlanta","GA",2571,-0.295809367,1766,-0.247870528,0.056665673,265725
2020-04-20,2020-05-17,138,5,2020,"Atlanta","GA",2753,-0.268791501,1763,-0.265722616,0.0299773,261396.6
2020-04-27,2020-05-24,145,5,2020,"Atlanta","GA",2870,-0.223064429,1813,-0.256967213,0.016122772,258896.6
2020-05-04,2020-05-31,152,5,2020,"Atlanta","GA",2797,-0.212777934,1816,-0.277070064,0.019836352,259396.6
2020-05-11,2020-06-07,159,6,2020,"Atlanta","GA",2895,-0.185883015,1947,-0.238560813,0.01766699,261896.6
2020-05-18,2020-06-14,166,6,2020,"Atlanta","GA",2872,-0.171618114,2038,-0.20545809,0.0185203,264662.5
2020-05-25,2020-06-21,173,6,2020,"Atlanta","GA",2950,-0.157864687,2186,-0.14072327,0.028780768,268537.5
2020-06-01,2020-06-28,180,6,2020,"Atlanta","GA",3038,-0.137666761,2240,-0.143730887,0.036420646,268562.5
2020-06-08,2020-07-05,187,7,2020,"Atlanta","GA",2915,-0.117736077,2532,0.030944625,0.06102669,272312.5
2020-06-15,2020-07-12,194,7,2020,"Atlanta","GA",2942,-0.129070456,2550,0.047658176,0.068770121,272563.1
2020-06-22,2020-07-19,201,7,2020,"Atlanta","GA",2901,-0.128828829,2626,0.078882498,0.083732371,274913.1
2020-06-29,2020-07-26,208,7,2020,"Atlanta","GA",2903,-0.115478367,2619,0.193710119,0.085031643,276788.1
2020-07-06,2020-08-02,215,8,2020,"Atlanta","GA",2972,-0.121749409,2732,0.072213501,0.088303682,277788.1
2020-07-13,2020-08-09,222,8,2020,"Atlanta","GA",2950,-0.095092025,2757,0.134567901,0.123039198,28285
2020-07-20,2020-08-16,229,8,2020,"Atlanta","GA",2967,-0.077712154,2702,0.131017162,0.128986819,284125
2020-07-27,2020-08-23,236,8,2020,"Atlanta","GA",2996,-0.058749607,2673,0.155642023,0.143597989,2835
2020-08-03,2020-08-30,243,8,2020,"Atlanta","GA",2955,-0.047081587,2530,0.07385399,0.140262361,2825
2020-08-10,2020-09-06,250,9,2020,"Atlanta","GA",2990,-0.014827018,2652,0.171895714,0.128436314,28125
2020-08-17,2020-09-13,257,9,2020,"Atlanta","GA",2916,-0.037623762,2514,0.151626202,0.125618636,279
2020-08-24,2020-09-20,264,9,2020,"Atlanta","GA",2871,-0.047761194,2526,0.160845588,0.131132213,281625
2020-08-31,2020-09-27,271,9,2020,"Atlanta","GA",2839,-0.052719386,2421,0.230808338,0.134127893,282342.5
2020-09-07,2020-10-04,278,10,2020,"Atlanta","GA",2776,-0.084432718,2545,0.17281106,0.141332126,283592.5
2020-09-14,2020-10-11,285,10,2020,"Atlanta","GA",2838,-0.049564635,2575,0.206654171,0.150096383,284592.5
2020-09-21,2020-10-18,292,10,2020,"Atlanta","GA",2800,-0.045346062,2528,0.219488664,0.1568793,285692.5
2020-09-28,2020-10-25,299,10,2020,"Atlanta","GA",2755,-0.048030408,2463,0.238933602,0.163629785,286225
2020-10-05,2020-11-01,306,11,2020,"Atlanta","GA",2649,-0.041952984,2427,0.182748538,0.160316937,284975
2020-10-12,2020-11-08,313,11,2020,"Atlanta","GA",2522,-0.049736247,2421,0.194375925,0.164083214,285375
2020-10-19,2020-11-15,320,11,2020,"Atlanta","GA",2425,-0.049392395,2362,0.171046108,0.164956798,285107.1
2020-10-26,2020-11-22,327,11,2020,"Atlanta","GA",2349,-0.044733632,2477,0.173933649,0.148019991,283832.1
2020-11-02,2020-11-29,334,11,2020,"Atlanta","GA",2095,-0.032779317,2068,0.114224138,0.145553374,281332.1
2020-11-09,2020-12-06,341,12,2020,"Atlanta","GA",2042,-0.034515366,2283,0.178018576,0.144597988,284216.5
2020-11-16,2020-12-13,348,12,2020,"Atlanta","GA",1975,-0.011511512,2302,0.153884712,0.138566757,283759.3
2020-11-23,2020-12-20,355,12,2020,"Atlanta","GA",1863,0.004312668,2305,0.131010795,0.145981707,285034.3
2020-11-30,2020-12-27,362,12,2020,"Atlanta","GA",1758,0.016184971,2341,0.196218702,0.137572586,284409.3
2020-12-07,2021-01-03,3,1,2021,"Atlanta","GA",1558,-0.007010835,2172,0.154704944,0.137686835,284125
2020-12-14,2021-01-10,10,1,2021,"Atlanta","GA",1595,-0.094264622,2001,0.18542654,0.139807507,282375
2020-12-21,2021-01-17,17,1,2021,"Atlanta","GA",1723,-0.115956901,1779,0.243186583,0.152601829,282375
2020-12-28,2021-01-24,24,1,2021,"Atlanta","GA",2045,-0.141117178,1759,0.229210342,0.165693786,28425
2021-01-04,2021-01-31,31,1,2021,"Atlanta","GA",2269,-0.144096567,1787,0.185013263,0.157272867,28075
2021-01-11,2021-02-07,38,2,2021,"Atlanta","GA",2376,-0.112439298,1768,0.169312169,0.160034587,282
2021-01-18,2021-02-14,45,2,2021,"Atlanta","GA",2396,-0.116519174,1759,0.111181301,0.147810146,28075
2021-01-25,2021-02-21,52,2,2021,"Atlanta","GA",2422,-0.106273063,1811,0.07223209,0.142817169,282218.7
2021-02-01,2021-02-28,59,2,2021,"Atlanta","GA",2484,-0.114754098,1956,0.038216561,0.141661066,286228.7
2021-02-08,2021-03-07,66,3,2021,"Atlanta","GA",2561,-0.117505169,2125,0.068376068,0.148805847,289978.7
2021-02-15,2021-03-14,73,3,2021,"Atlanta","GA",2706,-0.134633834,2225,0.089084679,0.149161629,293228.7
2021-02-22,2021-03-21,80,3,2021,"Atlanta","GA",2824,-0.147342995,2357,0.093735499,0.150873263,29801
2021-03-01,2021-03-28,87,3,2021,"Atlanta","GA",2908,-0.102192035,2168,0.078606965,0.153602731,30075
2021-03-08,2021-04-04,94,4,2021,"Atlanta","GA",2894,-0.077168367,2373,0.104234528,0.141518276,3045
2021-03-15,2021-04-11,101,4,2021,"Atlanta","GA",2877,0.012315271,2292,0.124631992,0.137418756,30625
2021-03-22,2021-04-18,108,4,2021,"Atlanta","GA",2930,0.13742236,2309,0.185318275,0.14075437,310
2021-03-29,2021-04-25,115,4,2021,"Atlanta","GA",2941,0.206316653,2335,0.297943302,0.152073733,3125
2021-04-05,2021-05-02,122,5,2021,"Atlanta","GA",2998,0.229192292,2421,0.331683168,0.159662306,3125
2021-04-12,2021-05-09,129,5,2021,"Atlanta","GA",2968,0.154414625,2524,0.429218573,0.18658839,315306.2
2021-04-19,2021-05-16,136,5,2021,"Atlanta","GA",2962,0.075917181,2558,0.450935905,0.220582823,319056.2
2021-04-26,2021-05-23,143,5,2021,"Atlanta","GA",3002,0.045993031,2604,0.436293436,0.242025581,321556.2
2021-05-03,2021-05-30,150,5,2021,"Atlanta","GA",2950,0.054701466,2640,0.453744493,0.254088141,325306.2
2021-05-10,2021-06-06,157,6,2021,"Atlanta","GA",3036,0.048704663,2605,0.337955829,0.27040099,332713.7
2021-05-17,2021-06-13,164,6,2021,"Atlanta","GA",3066,0.067548747,2578,0.264965653,0.253346054,331713.7
2021-05-24,2021-06-20,171,6,2021,"Atlanta","GA",3078,0.043389831,2599,0.188929552,0.250155751,335713.7
2021-05-31,2021-06-27,178,6,2021,"Atlanta","GA",3192,0.050691244,2357,0.052232143,0.250039376,335713.7
2021-06-07,2021-07-04,185,7,2021,"Atlanta","GA",3147,0.079588336,2682,0.059241706,0.234794583,33625
2021-06-14,2021-07-11,192,7,2021,"Atlanta","GA",3134,0.065261727,2575,0.009803922,0.232191738,33585
2021-06-21,2021-07-18,199,7,2021,"Atlanta","GA",3135,0.080661841,2606,-0.007616146,0.220749393,3356
2021-06-28,2021-07-25,206,7,2021,"Atlanta","GA",3044,0.048570444,2610,-0.003436426,0.216995962,33685
2021-07-05,2021-08-01,213,8,2021,"Atlanta","GA",3087,0.038694482,2549,-0.066983895,0.207665123,335475
2021-07-12,2021-08-08,220,8,2021,"Atlanta","GA",3091,0.04779661,2605,-0.05513239,0.182163691,334375
2021-07-19,2021-08-15,227,8,2021,"Atlanta","GA",3096,0.043478261,2521,-0.066987417,0.163660361,330625
2021-07-26,2021-08-22,234,8,2021,"Atlanta","GA",3100,0.034712951,2516,-0.058735503,0.166313933,33065
2021-08-02,2021-08-29,241,8,2021,"Atlanta","GA",3031,0.02571912,2342,-0.0743083,0.165132743,32915
2021-08-09,2021-09-05,248,9,2021,"Atlanta","GA",2974,-0.005351171,2523,-0.048642534,0.1792,33165
2021-08-16,2021-09-12,255,9,2021,"Atlanta","GA",2842,-0.025377229,2410,-0.041368337,0.190949821,332275
2021-08-23,2021-09-19,262,9,2021,"Atlanta","GA",2824,-0.016370603,2413,-0.044734759,0.175321793,331
2021-08-30,2021-09-26,269,9,2021,"Atlanta","GA",2750,-0.031349067,2356,-0.02684841,0.171006845,330625
2021-09-06,2021-10-03,276,10,2021,"Atlanta","GA",2768,-0.002881844,2399,-0.057367387,0.168930772,3315
2021-09-13,2021-10-10,283,10,2021,"Atlanta","GA",2761,-0.027131783,2454,-0.046990291,0.17382749,334062.5
2021-09-20,2021-10-17,290,10,2021,"Atlanta","GA",2720,-0.028571429,2384,-0.056962025,0.185934177,338812.5
2021-09-27,2021-10-24,297,10,2021,"Atlanta","GA",2786,0.011252269,2381,-0.033292732,0.192462224,341312.5
2021-10-04,2021-10-31,304,10,2021,"Atlanta","GA",2652,0.001132503,2324,-0.042439225,0.199008685,341687.5
2021-10-11,2021-11-07,311,11,2021,"Atlanta","GA",2669,0.058287074,2307,-0.04708798,0.207752957,344662.5
2021-10-18,2021-11-14,318,11,2021,"Atlanta","GA",2644,0.090309278,2291,-0.030059272,0.199023104,34185
2021-10-25,2021-11-21,325,11,2021,"Atlanta","GA",2548,0.084716901,2391,-0.034719419,0.213217251,34435
2021-11-01,2021-11-28,332,11,2021,"Atlanta","GA",2286,0.091169451,2043,-0.012088975,0.228441404,3456
2021-11-08,2021-12-05,339,12,2021,"Atlanta","GA",2199,0.076885406,2253,-0.013140604,0.212255446,344543
2021-11-15,2021-12-12,346,12,2021,"Atlanta","GA",2082,0.054177215,2244,-0.025195482,0.215309948,344855.5
2021-11-22,2021-12-19,353,12,2021,"Atlanta","GA",1953,0.048309179,2201,-0.045119306,0.214259126,346105.5
2021-11-29,2021-12-26,360,12,2021,"Atlanta","GA",1882,0.070534699,2272,-0.029474584,0.218135975,346449.2
2021-12-06,2022-01-02,2,1,2022,"Atlanta","GA",1624,0.042362003,2108,-0.02946593,0.236581434,351343.7
2021-12-13,2022-01-09,9,1,2022,"Atlanta","GA",1625,0.018808777,1940,-0.030484758,0.245130412,351593.7
2021-12-20,2022-01-16,16,1,2022,"Atlanta","GA",1716,-0.004062681,1740,-0.021922428,0.240703674,350343.7
2021-12-27,2022-01-23,23,1,2022,"Atlanta","GA",1963,-0.0400978,1648,-0.063104036,0.222515391,3475
2022-01-03,2022-01-30,30,1,2022,"Atlanta","GA",2236,-0.014543852,1511,-0.154448797,0.224398931,34375
2022-01-10,2022-02-06,37,2,2022,"Atlanta","GA",2327,-0.020622896,1608,-0.090497738,0.227836879,34625
2022-01-17,2022-02-13,44,2,2022,"Atlanta","GA",2406,0.004173623,1617,-0.080727686,0.230186999,345375
2022-01-24,2022-02-20,51,2,2022,"Atlanta","GA",2534,0.046242775,1763,-0.026504694,0.245036208,351372.5
2022-01-31,2022-02-27,58,2,2022,"Atlanta","GA",2552,0.027375201,1878,-0.039877301,0.237885299,354318.3
2022-02-07,2022-03-06,65,3,2022,"Atlanta","GA",2659,0.038266302,2043,-0.038588235,0.234377904,357943.3
2022-02-14,2022-03-13,72,3,2022,"Atlanta","GA",2702,-0.001478197,2130,-0.042696629,0.232206465,361318.3
2022-02-21,2022-03-20,79,3,2022,"Atlanta","GA",2752,-0.025495751,2180,-0.07509546,0.223350894,364570.8
2022-02-28,2022-03-27,86,3,2022,"Atlanta","GA",2817,-0.031292985,2195,0.012453875,0.214879468,365375
2022-03-07,2022-04-03,93,4,2022,"Atlanta","GA",2844,-0.017277125,2283,-0.037926675,0.215722496,370187.5
2022-03-14,2022-04-10,100,4,2022,"Atlanta","GA",2794,-0.028849496,2230,-0.027050611,0.221020408,373937.5
2022-03-21,2022-04-17,107,4,2022,"Atlanta","GA",2787,-0.048805461,2238,-0.030749242,0.212701613,375937.5
2022-03-28,2022-04-24,114,4,2022,"Atlanta","GA",2903,-0.012920775,2243,-0.039400428,0.219,380937.5
2022-04-04,2022-05-01,121,5,2022,"Atlanta","GA",2941,-0.019012675,2245,-0.072697233,0.228,38375
2022-04-11,2022-05-08,128,5,2022,"Atlanta","GA",3089,0.040768194,2292,-0.091917591,0.234514259,38925
2022-04-18,2022-05-15,135,5,2022,"Atlanta","GA",3254,0.098582039,2266,-0.114151681,0.223922306,3905
2022-04-25,2022-05-22,142,5,2022,"Atlanta","GA",3300,0.099267155,2272,-0.12749616,0.226068725,39425
2022-05-02,2022-05-29,149,5,2022,"Atlanta","GA",3263,0.106101695,2247,-0.148863636,0.221925681,3975
2022-05-09,2022-06-05,156,6,2022,"Atlanta","GA",3361,0.107048748,2305,-0.115163148,0.200732041,3995
2022-05-16,2022-06-12,163,6,2022,"Atlanta","GA",3382,0.103065884,2296,-0.109387122,0.216410417,4035
2022-05-23,2022-06-19,170,6,2022,"Atlanta","GA",3450,0.1208577,2315,-0.109272797,0.201916991,4035
2022-05-30,2022-06-26,177,6,2022,"Atlanta","GA",3619,0.13377193,2139,-0.092490454,0.195885065,401475
2022-06-06,2022-07-03,184,7,2022,"Atlanta","GA",3575,0.136002542,2303,-0.141312453,0.192929368,401122.5
2022-06-13,2022-07-10,191,7,2022,"Atlanta","GA",3482,0.111040204,2171,-0.156893204,0.186087539,398347.5
2022-06-20,2022-07-17,198,7,2022,"Atlanta","GA",3409,0.087400319,2119,-0.186876439,0.179894219,395972.5
2022-06-27,2022-07-24,205,7,2022,"Atlanta","GA",3293,0.081800263,2114,-0.190038314,0.169652664,393997.5
2022-07-04,2022-07-31,212,7,2022,"Atlanta","GA",3222,0.043731778,2017,-0.208709298,0.170273493,392597.5
2022-07-11,2022-08-07,219,8,2022,"Atlanta","GA",3239,0.047880945,2045,-0.214971209,0.17606729,393247.5
2022-07-18,2022-08-14,226,8,2022,"Atlanta","GA",3145,0.015826873,1955,-0.224514082,0.185247637,391872.5
2022-07-25,2022-08-21,233,8,2022,"Atlanta","GA",3066,-0.010967742,1942,-0.228139905,0.178842583,389784.3
2022-08-01,2022-08-28,240,8,2022,"Atlanta","GA",2976,-0.018145826,1794,-0.233988044,0.166753152,384036.8
2022-08-08,2022-09-04,247,9,2022,"Atlanta","GA",2868,-0.035642233,1974,-0.217598098,0.148535504,380911.8
2022-08-15,2022-09-11,254,9,2022,"Atlanta","GA",2803,-0.01372273,1900,-0.211618257,0.138851253,378411.8
2022-08-22,2022-09-18,261,9,2022,"Atlanta","GA",2752,-0.025495751,1874,-0.223373394,0.136706949,37625
2022-08-29,2022-09-25,268,9,2022,"Atlanta","GA",2777,0.009818182,1822,-0.226655348,0.141776938,3775
2022-09-05,2022-10-02,275,10,2022,"Atlanta","GA",2760,-0.002890173,1836,-0.234681117,0.138763198,3775
2022-09-12,2022-10-09,282,10,2022,"Atlanta","GA",2751,-0.003621876,1878,-0.234718826,0.122544434,375
2022-09-19,2022-10-16,289,10,2022,"Atlanta","GA",2699,-0.007720588,1776,-0.255033557,0.102084486,3734
2022-09-26,2022-10-23,296,10,2022,"Atlanta","GA",2604,-0.065326633,1748,-0.265854683,0.08668742,3709
2022-10-03,2022-10-30,303,10,2022,"Atlanta","GA",2503,-0.056184012,1606,-0.308950086,0.081836473,36965
2022-10-10,2022-11-06,310,11,2022,"Atlanta","GA",2400,-0.100786812,1581,-0.314694408,0.068871722,3684
2022-10-17,2022-11-13,317,11,2022,"Atlanta","GA",2308,-0.127080182,1503,-0.343954605,0.075764224,36775
2022-10-24,2022-11-20,324,11,2022,"Atlanta","GA",2191,-0.14010989,1536,-0.357590966,0.075214172,37025
2022-10-31,2022-11-27,331,11,2022,"Atlanta","GA",1872,-0.181102362,1327,-0.350465002,0.060800058,366612.5
2022-11-07,2022-12-04,338,12,2022,"Atlanta","GA",1782,-0.189631651,1422,-0.368841545,0.076389594,370862.5
2022-11-14,2022-12-11,345,12,2022,"Atlanta","GA",1632,-0.216138329,1456,-0.351158645,0.074688674,370612.3
2022-11-21,2022-12-18,352,12,2022,"Atlanta","GA",1536,-0.213517665,1386,-0.370286234,0.054916203,365112.3
2022-11-28,2022-12-25,359,12,2022,"Atlanta","GA",1518,-0.193411265,1504,-0.338028169,0.057152968,366249.8
2022-12-05,2023-01-01,1,1,2023,"Atlanta","GA",1291,-0.205049261,1377,-0.346774194,0.037383906,364478.3
2022-12-12,2023-01-08,8,1,2023,"Atlanta","GA",1346,-0.171692308,1243,-0.359278351,0.022652852,359558.3
2022-12-19,2023-01-15,15,1,2023,"Atlanta","GA",1454,-0.152680653,1116,-0.35862069,0.024089487,358783.3
2022-12-26,2023-01-22,22,1,2023,"Atlanta","GA",1691,-0.138563423,986,-0.401699029,0.010887194,351283.3
2023-01-02,2023-01-29,29,1,2023,"Atlanta","GA",1953,-0.126565295,900,-0.404367968,0.010704873,347429.8
2023-01-09,2023-02-05,36,2,2023,"Atlanta","GA",2058,-0.115599484,1072,-0.333333333,0.017617329,35235
2023-01-16,2023-02-12,43,2,2023,"Atlanta","GA",2094,-0.12967581,1138,-0.296227582,0.018458198,35175
2023-01-23,2023-02-19,50,2,2023,"Atlanta","GA",2107,-0.168508287,1267,-0.281338627,0.021885606,359062.5
2023-01-30,2023-02-26,57,2,2023,"Atlanta","GA",2096,-0.178683386,1366,-0.272630458,0.023620569,362687.5
2023-02-06,2023-03-05,64,3,2023,"Atlanta","GA",2148,-0.19217751,1551,-0.24082232,0.019455316,364907.2
2023-02-13,2023-03-12,71,3,2023,"Atlanta","GA",2186,-0.190969652,1633,-0.233333333,0.025431593,370507.2
2023-02-20,2023-03-19,78,3,2023,"Atlanta","GA",2273,-0.174055233,1667,-0.235321101,0.023654939,373194.7
2023-02-27,2023-03-26,85,3,2023,"Atlanta","GA",2374,-0.157259496,1704,-0.223690205,0.022086076,373444.7
2023-03-06,2023-04-02,92,4,2023,"Atlanta","GA",2388,-0.160337553,1712,-0.250109505,0.006179301,372475
2023-03-13,2023-04-09,99,4,2023,"Atlanta","GA",2294,-0.178954903,1655,-0.257847534,-0.005682768,371812.5
2023-03-20,2023-04-16,106,4,2023,"Atlanta","GA",2340,-0.160387513,1717,-0.23279714,-0.008977556,372562.5
2023-03-27,2023-04-23,113,4,2023,"Atlanta","GA",2335,-0.195659662,1742,-0.223361569,-0.015422477,375062.5
2023-04-03,2023-04-30,120,4,2023,"Atlanta","GA",2353,-0.199931996,1764,-0.214253898,-0.008013029,380675
2023-04-10,2023-05-07,127,5,2023,"Atlanta","GA",2562,-0.170605374,1823,-0.204624782,-0.015767502,383112.5
2023-04-17,2023-05-14,134,5,2023,"Atlanta","GA",2564,-0.212046712,1753,-0.226390115,-0.020838668,382362.5
2023-04-24,2023-05-21,141,5,2023,"Atlanta","GA",2620,-0.206060606,1793,-0.210827465,-0.01873811,386862.5
2023-05-01,2023-05-28,148,5,2023,"Atlanta","GA",2571,-0.212074778,1749,-0.221628838,-0.022018868,388747.5
2023-05-08,2023-06-04,155,6,2023,"Atlanta","GA",2500,-0.256173758,1847,-0.198698482,-0.0181602,392245
2023-05-15,2023-06-11,162,6,2023,"Atlanta","GA",2529,-0.252217623,1853,-0.192944251,-0.012403965,398495
2023-05-22,2023-06-18,169,6,2023,"Atlanta","GA",2527,-0.267536232,1854,-0.199136069,-0.011164808,398995
2023-05-29,2023-06-25,176,6,2023,"Atlanta","GA",2570,-0.289859077,1745,-0.184198223,-0.006426303,398895
2023-06-05,2023-07-02,183,7,2023,"Atlanta","GA",2598,-0.273286713,1859,-0.19279201,-0.003088333,399883.7
2023-06-12,2023-07-09,190,7,2023,"Atlanta","GA",2483,-0.286904078,1769,-0.185168125,0.000718468,398633.7
2023-06-19,2023-07-16,197,7,2023,"Atlanta","GA",2534,-0.256673511,1727,-0.184992921,0.001669813,396633.7
2023-06-26,2023-07-23,204,7,2023,"Atlanta","GA",2554,-0.224415427,1726,-0.183538316,0.005999277,396361.2
2023-07-03,2023-07-30,211,7,2023,"Atlanta","GA",2514,-0.219739292,1579,-0.217154189,0.008284566,39585
2023-07-10,2023-08-06,218,8,2023,"Atlanta","GA",2600,-0.197283112,1714,-0.161858191,0.002377129,394182.3
2023-07-17,2023-08-13,225,8,2023,"Atlanta","GA",2465,-0.216216216,1667,-0.147314578,0.004267459,393544.8
2023-07-24,2023-08-20,232,8,2023,"Atlanta","GA",2398,-0.217873451,1678,-0.135942327,0.010609714,393919.8
2023-07-31,2023-08-27,239,8,2023,"Atlanta","GA",2396,-0.194892473,1641,-0.085284281,0.023700333,393138.6
2023-08-07,2023-09-03,246,9,2023,"Atlanta","GA",2358,-0.177824268,1721,-0.12816616,0.031514907,392916.2
2023-08-14,2023-09-10,253,9,2023,"Atlanta","GA",2335,-0.166963967,1652,-0.130526316,0.038693032,393053.7
2023-08-21,2023-09-17,260,9,2023,"Atlanta","GA",2309,-0.160973837,1597,-0.147812166,0.038016478,390553.7
2023-08-28,2023-09-24,267,9,2023,"Atlanta","GA",2257,-0.187252431,1568,-0.139407245,0.029430464,38861
2023-09-04,2023-10-01,274,10,2023,"Atlanta","GA",2216,-0.197101449,1543,-0.159586057,0.031125828,38925
2023-09-11,2023-10-08,281,10,2023,"Atlanta","GA",2234,-0.187931661,1554,-0.172523962,0.03566,388372.5
2023-09-18,2023-10-15,288,10,2023,"Atlanta","GA",2170,-0.195998518,1481,-0.166103604,0.038142742,387642.5
2023-09-25,2023-10-22,295,10,2023,"Atlanta","GA",2117,-0.187019969,1449,-0.171052632,0.043792127,387142.5
2023-10-02,2023-10-29,302,10,2023,"Atlanta","GA",2052,-0.180183779,1318,-0.179327522,0.054084945,389642.5
2023-10-09,2023-11-05,309,11,2023,"Atlanta","GA",1977,-0.17625,1389,-0.121442125,0.060043431,39052
2023-10-16,2023-11-12,316,11,2023,"Atlanta","GA",1959.291271,-0.151086971,1375.01,-0.085158073,0.070700204,39375
2023-10-23,2023-11-19,323,11,2023,"Atlanta","GA",1852.983629,-0.15427493,1396.51,-0.090816287,0.065377988,394456.2
2023-10-30,2023-11-26,330,11,2023,"Atlanta","GA",1602.697369,-0.143858243,1252.28,-0.056310843,0.0657198,390706.2
2023-11-06,2023-12-03,337,12,2023,"Atlanta","GA",1494.627897,-0.161263806,1298.22,-0.087047776,0.050136371,389456.2
2019-12-09,2020-01-05,5,1,2020,"Austin","TX",371,0.027700831,639,0.092307692,0.055239298,319743.1
2019-12-16,2020-01-12,12,1,2020,"Austin","TX",424,0.089974293,559,0.060721063,0.062738726,319243.1
2019-12-23,2020-01-19,19,1,2020,"Austin","TX",483,-0.010245902,480,0.081081081,0.045572229,313587.5
2019-12-30,2020-01-26,26,1,2020,"Austin","TX",615,0.011513158,471,0.210796915,0.044711479,313590
2020-01-06,2020-02-02,33,2,2020,"Austin","TX",695,-0.014184397,477,0.091533181,0.044278803,311103.5
2020-01-13,2020-02-09,40,2,2020,"Austin","TX",712,-0.031292517,503,0.143181818,0.056219734,311727.2
2020-01-20,2020-02-16,47,2,2020,"Austin","TX",737,-0.022546419,548,0.163481953,0.069386561,316123.5
2020-01-27,2020-02-23,54,2,2020,"Austin","TX",756,-0.002638522,596,0.13740458,0.093965794,319014.1
2020-02-03,2020-03-01,61,3,2020,"Austin","TX",809,0.017610063,649,0.062193126,0.103225105,324748.1
2020-02-10,2020-03-08,68,3,2020,"Austin","TX",852,-0.00234192,707,0.067975831,0.094443854,329427.6
2020-02-17,2020-03-15,75,3,2020,"Austin","TX",922,0.047727273,711,0.040995608,0.092705726,329177.6
2020-02-24,2020-03-22,82,3,2020,"Austin","TX",999,0.066168623,730,0.056439942,0.094547541,333837
2020-03-02,2020-03-29,89,3,2020,"Austin","TX",978,0.030558483,700,0.001430615,0.094537429,333777
2020-03-09,2020-04-05,96,4,2020,"Austin","TX",931,-0.047082907,709,0.002828854,0.086640942,329195.7
2020-03-16,2020-04-12,103,4,2020,"Austin","TX",844,-0.17254902,658,-0.074542897,0.075585192,330105.7
2020-03-23,2020-04-19,110,4,2020,"Austin","TX",756,-0.240201005,651,-0.135458167,0.052067142,328805.7
2020-03-30,2020-04-26,117,4,2020,"Austin","TX",757,-0.262183236,603,-0.141025641,0.029706546,326504.5
2020-04-06,2020-05-03,124,5,2020,"Austin","TX",811,-0.211089494,604,-0.254320988,0.027873008,329263.7
2020-04-13,2020-05-10,131,5,2020,"Austin","TX",857,-0.13346815,595,-0.267241379,0.018318499,332353.7
2020-04-20,2020-05-17,138,5,2020,"Austin","TX",908,-0.142587347,577,-0.311455847,0.016309825,333603.7
2020-04-27,2020-05-24,145,5,2020,"Austin","TX",935,-0.096618357,600,-0.29245283,0.008234098,334731.2
2020-05-04,2020-05-31,152,5,2020,"Austin","TX",883,-0.125742574,625,-0.266431925,0.003031013,331750
2020-05-11,2020-06-07,159,6,2020,"Austin","TX",907,-0.113391984,689,-0.218820862,0.010629823,333000
2020-05-18,2020-06-14,166,6,2020,"Austin","TX",919,-0.081918082,738,-0.163265306,0.016431096,334911.2
2020-05-25,2020-06-21,173,6,2020,"Austin","TX",927,-0.088495575,805,-0.077892325,0.016539991,335661.2
